daysofweek,hours,times,n,usertype
1.1,0.1,100,1121,Customer
1.1,0.1,100,1712,Subscriber
1.1,1.1,101,814,Customer
1.1,1.1,101,1164,Subscriber
1.1,2.1,102,493,Customer
1.1,2.1,102,819,Subscriber
1.1,3.1,103,325,Customer
1.1,3.1,103,439,Subscriber
1.1,4.1,104,164,Customer
1.1,4.1,104,331,Subscriber
1.1,5.1,105,154,Customer
1.1,5.1,105,388,Subscriber
1.1,6.1,106,311,Customer
1.1,6.1,106,819,Subscriber
1.1,7.1,107,751,Customer
1.1,7.1,107,1647,Subscriber
1.1,8.1,108,1725,Customer
1.1,8.1,108,3129,Subscriber
1.1,9.1,109,3420,Customer
1.1,9.1,109,4821,Subscriber
1.1,10.1,110,6054,Customer
1.1,10.1,110,6779,Subscriber
1.1,11.1,111,8502,Customer
1.1,11.1,111,8446,Subscriber
1.1,12.1,112,10123,Customer
1.1,12.1,112,9216,Subscriber
1.1,13.1,113,11113,Customer
1.1,13.1,113,9004,Subscriber
1.1,14.1,114,11341,Customer
1.1,14.1,114,8802,Subscriber
1.1,15.1,115,11293,Customer
1.1,15.1,115,8952,Subscriber
1.1,16.1,116,9927,Customer
1.1,16.1,116,8787,Subscriber
1.1,17.1,117,9000,Customer
1.1,17.1,117,8528,Subscriber
1.1,18.1,118,7441,Customer
1.1,18.1,118,7629,Subscriber
1.1,19.1,119,5337,Customer
1.1,19.1,119,5996,Subscriber
1.1,20.1,120,3443,Customer
1.1,20.1,120,4239,Subscriber
1.1,21.1,121,2487,Customer
1.1,21.1,121,3033,Subscriber
1.1,22.1,122,1995,Customer
1.1,22.1,122,2352,Subscriber
1.1,23.1,123,1247,Customer
1.1,23.1,123,1255,Subscriber
2.1,0.1,200,748,Customer
2.1,0.1,200,769,Subscriber
2.1,1.1,201,406,Customer
2.1,1.1,201,360,Subscriber
2.1,2.1,202,241,Customer
2.1,2.1,202,178,Subscriber
2.1,3.1,203,100,Customer
2.1,3.1,203,157,Subscriber
2.1,4.1,204,76,Customer
2.1,4.1,204,241,Subscriber
2.1,5.1,205,94,Customer
2.1,5.1,205,1566,Subscriber
2.1,6.1,206,226,Customer
2.1,6.1,206,5907,Subscriber
2.1,7.1,207,506,Customer
2.1,7.1,207,12671,Subscriber
2.1,8.1,208,1110,Customer
2.1,8.1,208,14416,Subscriber
2.1,9.1,209,2136,Customer
2.1,9.1,209,6344,Subscriber
2.1,10.1,210,3594,Customer
2.1,10.1,210,4362,Subscriber
2.1,11.1,211,5027,Customer
2.1,11.1,211,5395,Subscriber
2.1,12.1,212,5641,Customer
2.1,12.1,212,6528,Subscriber
2.1,13.1,213,5919,Customer
2.1,13.1,213,6243,Subscriber
2.1,14.1,214,5744,Customer
2.1,14.1,214,5717,Subscriber
2.1,15.1,215,5792,Customer
2.1,15.1,215,7447,Subscriber
2.1,16.1,216,5458,Customer
2.1,16.1,216,13502,Subscriber
2.1,17.1,217,4833,Customer
2.1,17.1,217,21509,Subscriber
2.1,18.1,218,3737,Customer
