starttimes,from_station_name,to_station_name,counts,from_lat,from_long,to_lat,to_long
0,Clark St & Wrightwood Ave,Wells St & Concord Ln,6,41.9295,-87.6431,41.9121,-87.6347
0,Mies van der Rohe Way & Chicago Ave,Lake Shore Dr & Ohio St,4,41.8969,-87.6217,41.8926,-87.6145
0,Stetson Ave & South Water St,Michigan Ave & 14th St,2,41.8868,-87.6223,41.8641,-87.6237
0,Lincoln Ave & Fullerton Ave,Wood St & Division St,2,41.9259,-87.6493,41.9033,-87.6727
0,Millennium Park,LaSalle St & Illinois St,2,41.881,-87.6241,41.8908,-87.6321
0,Michigan Ave & Congress Pkwy,Indiana Ave & Roosevelt Rd,2,41.8762,-87.6244,41.8679,-87.623
0,State St & Van Buren St,Franklin St & Jackson Blvd,2,41.8772,-87.6278,41.8777,-87.6353
0,Dayton St & North Ave,Wells St & Huron St,2,41.9106,-87.6494,41.8947,-87.6338
0,Milwaukee Ave & Wabansia Ave,Damen Ave & Augusta Blvd,2,41.9126,-87.6814,41.8997,-87.6772
0,Jefferson St & Monroe St,Morgan St & 18th St,2,41.8804,-87.6427,41.8581,-87.6511
0,Theater on the Lake,Clark St & Wrightwood Ave,2,41.9263,-87.6308,41.9295,-87.6431
0,Wabash Ave & Adams St,Wabash Ave & 8th St,2,41.8795,-87.6257,41.872,-87.6261
0,Wabash Ave & 8th St,Kingsbury St & Kinzie St,2,41.872,-87.6261,41.8892,-87.6385
0,Columbus Dr & Randolph St,Dearborn St & Erie St,2,41.8847,-87.6195,41.894,-87.6293
1,Lake Shore Dr & Ohio St,Columbus Dr & Randolph St,4,41.8926,-87.6145,41.8847,-87.6195
1,Columbus Dr & Randolph St,Wabash Ave & Adams St,4,41.8847,-87.6195,41.8795,-87.6257
1,Wells St & Concord Ln,Clark St & North Ave,3,41.9121,-87.6347,41.912,-87.6319
1,Wabash Ave & Roosevelt Rd,State St & Harrison St,2,41.8672,-87.626,41.8741,-87.6277
