id,name,latitude,longtitude,dpcapacity,online_date
2,"Michigan Ave & Balbo Ave",41.8726,-87.624,35,2015-05-08
3,"Shedd Aquarium",41.8672,-87.6154,31,2015-04-24
4,"Burnham Harbor",41.8563,-87.6133,23,2015-05-16
5,"State St & Harrison St",41.8741,-87.6277,23,2013-06-18
6,"Dusable Harbor",41.885,-87.6128,31,2015-04-24
7,"Field Blvd & South Water St",41.8863,-87.6175,19,2015-04-18
9,"Leavitt St & Archer Ave",41.8288,-87.6806,19,2015-04-14
11,"Jeffery Blvd & 71st St",41.7666,-87.5764,11,2015-04-22
12,"South Shore Dr & 71st St",41.7664,-87.5657,15,2015-04-22
13,"Wilton Ave & Diversey Pkwy",41.9324,-87.6527,27,2013-06-20
14,"Morgan St & 18th St",41.8581,-87.6511,15,2013-06-20
15,"Racine Ave & 18th St",41.8582,-87.6565,15,2013-06-20
16,"Paulina Ave & North Ave",41.9103,-87.6701,15,2013-08-12
17,"Wood St & Division St",41.9033,-87.6727,15,2013-06-20
18,"Wacker Dr & Washington St",41.8833,-87.6373,19,2015-04-18
19,"Loomis St & Taylor St (*)",41.8694,-87.661,16,2013-06-21
20,"Sheffield Ave & Kingsbury St",41.9105,-87.6531,15,2013-06-21
21,"Aberdeen St & Jackson Blvd",41.8777,-87.6548,15,2013-06-21
22,"May St & Taylor St",41.8695,-87.6555,15,2013-06-21
23,"Orleans St & Elm St (*)",41.9029,-87.6377,15,2013-06-21
24,"Fairbanks Ct & Grand Ave",41.8919,-87.6206,15,2013-06-21
25,"Michigan Ave & Pearson St",41.8977,-87.6235,23,2013-06-22
26,"McClurg Ct & Illinois St",41.891,-87.6173,31,2013-06-22
27,"Larrabee St & North Ave",41.9102,-87.6435,19,2013-06-22
28,"Larrabee St & Menomonee St",41.9147,-87.6433,15,2013-06-22
29,"Noble St & Milwaukee Ave",41.9007,-87.6626,15,2013-06-22
30,"Ashland Ave & Augusta Blvd",41.8996,-87.6677,15,2013-06-22
31,"Franklin St & Chicago Ave",41.8968,-87.6356,23,2013-06-22
32,"Racine Ave & Congress Pkwy",41.8746,-87.657,19,2013-06-21
33,"State St & Van Buren St",41.8772,-87.6278,27,2013-06-25
34,"Cannon Dr & Fullerton Ave",41.9268,-87.6344,15,2013-06-27
35,"Streeter Dr & Grand Ave",41.8923,-87.612,47,2013-08-05
36,"Franklin St & Jackson Blvd",41.8777,-87.6353,31,2013-06-15
37,"Dearborn St & Adams St",41.8794,-87.6298,19,2013-06-16
38,"Clark St & Lake St",41.886,-87.6309,27,2015-04-18
39,"Wabash Ave & Adams St",41.8795,-87.6257,23,2015-04-18
40,"LaSalle St & Adams St",41.8793,-87.632,15,2015-04-25
41,"Federal St & Polk St",41.8721,-87.6295,19,2015-04-25
42,"Wabash Ave & Cermak Rd",41.8526,-87.6265,11,2013-06-18
